iso3c,forests_2000,forests_2020,trend,forest_change_percentage,trend_category
AFG,1.9,1.9,0.0,0.0,Negative
ALB,28.1,28.8,2.5,2.4911032028469724,Positive
DZA,0.7,0.8,14.3,14.285714285714299,Positive
ASM,88.7,85.7,-3.4,-3.3821871476888385,Negative
AND,34.0,34.0,0.0,0.0,Negative
AGO,62.3,53.4,-14.3,-14.285714285714285,Negative
AIA,61.1,61.1,0.0,0.0,Negative
ATG,21.5,18.5,-14.0,-13.953488372093023,Negative
ARG,12.2,10.4,-14.8,-14.754098360655728,Negative
ARM,11.7,11.5,-1.7,-1.7094017094017033,Negative
ABW,2.3,2.3,0.0,0.0,Negative
AUS,17.2,17.4,1.2,1.1627906976744147,Positive
AUT,46.5,47.3,1.7,1.7204301075268755,Positive
AZE,12.0,13.7,14.2,14.16666666666666,Positive
BHS,50.9,50.9,0.0,0.0,Negative
BHR,0.5,0.9,80.0,80.0,Positive
BGD,14.8,14.5,-2.0,-2.0270270270270316,Negative
BRB,14.7,14.7,0.0,0.0,Negative
BLR,40.8,43.2,5.9,5.882352941176485,Positive
BEL,22.0,22.8,3.6,3.63636363636364,Positive
BLZ,64.0,56.0,-12.5,-12.5,Negative
BEN,36.7,27.8,-24.3,-24.250681198910083,Negative
BMU,18.5,18.5,0.0,0.0,Negative
BTN,65.5,71.4,9.0,9.007633587786268,Positive
BOL,50.9,46.9,-7.9,-7.858546168958743,Negative
BES,5.9,5.9,0.0,0.0,Negative
BIH,41.2,42.7,3.6,3.640776699029126,Positive
BWA,31.1,26.9,-13.5,-13.50482315112541,Negative
BRA,65.9,59.4,-9.9,-9.863429438543257,Negative
VGB,24.5,24.1,-1.6,-1.632653061224484,Negative
BRN,75.3,72.1,-4.2,-4.249667994687919,Negative
BGR,30.5,35.9,17.7,17.704918032786882,Positive
BFA,26.4,22.7,-14.0,-14.015151515151514,Negative
BDI,7.6,10.9,43.4,43.42105263157896,Positive
CPV,9.9,11.3,14.1,14.141414141414144,Positive
KHM,61.1,45.7,-25.2,-25.20458265139116,Negative
CMR,45.7,43.0,-5.9,-5.908096280087533,Negative
CAN,38.8,38.7,-0.3,-0.25773195876287197,Negative
CYM,53.9,53.0,-1.7,-1.669758812615953,Negative
CAF,36.8,35.8,-2.7,-2.717391304347826,Negative
TCD,5.0,3.4,-32.0,-32.0,Negative
CHL,21.3,24.5,15.0,15.02347417840375,Positive
CHN,18.8,23.3,23.9,23.936170212765955,Positive
COL,56.5,53.3,-5.7,-5.663716814159296,Negative
COM,22.4,17.7,-21.0,-20.982142857142854,Negative
COG,65.0,64.3,-1.1,-1.0769230769230813,Negative
COK,64.9,65.0,0.2,0.15408320493065378,Positive
CRI,56.0,59.4,6.1,6.0714285714285685,Positive
CIV,16.0,8.9,-44.4,-44.375,Negative
HRV,33.7,34.6,2.7,2.670623145400589,Positive
CUB,22.7,31.2,37.4,37.44493392070485,Positive
CUW,0.2,0.2,0.0,0.0,Negative
CYP,18.6,18.7,0.5,0.5376344086021391,Positive
CZE,34.1,34.7,1.8,1.7595307917888603,Positive
PRK,53.6,50.1,-6.5,-6.529850746268656,Negative
COD,63.5,55.6,-12.4,-12.440944881889763,Negative
DNK,14.3,15.7,9.8,9.79020979020978,Positive
DJI,0.2,0.3,50.0,49.999999999999986,Positive
DMA,63.8,63.8,0.0,0.0,Negative
DOM,40.8,44.4,8.8,8.82352941176471,Positive
ECU,55.3,50.3,-9.0,-9.041591320072333,Negative
EGY,0.1,0.0,-100.0,-100.0,Negative
SLV,32.5,28.2,-13.2,-13.230769230769232,Negative
GNQ,93.2,87.3,-6.3,-6.330472103004298,Negative
ERI,9.2,8.7,-5.4,-5.434782608695652,Negative
EST,52.8,56.1,6.3,6.250000000000008,Positive
SWZ,27.5,28.9,5.1,5.0909090909090855,Positive
ETH,16.4,15.1,-7.9,-7.9268292682926775,Negative
FRO,0.1,0.1,0.0,0.0,Negative
FJI,55.1,62.4,13.2,13.248638838475493,Positive
FIN,73.7,73.7,0.0,0.0,Negative
FRA,27.9,31.5,12.9,12.903225806451617,Positive
GUF,97.7,96.6,-1.1,-1.125895598771759,Negative
PYF,42.8,43.1,0.7,0.7009345794392623,Positive
GAB,92.0,91.3,-0.8,-0.7608695652173944,Negative
GMB,35.3,24.0,-32.0,-32.0113314447592,Negative
GEO,39.7,40.6,2.3,2.267002518891684,Positive
DEU,32.5,32.7,0.6,0.6153846153846242,Positive
GHA,38.9,35.1,-9.8,-9.768637532133669,Negative
GRC,27.9,30.3,8.6,8.602150537634417,Positive
GRD,52.1,52.1,0.0,0.0,Negative
GLP,42.8,44.4,3.7,3.7383177570093498,Positive
GUM,44.4,51.9,16.9,16.89189189189189,Positive
GTM,39.3,32.9,-16.3,-16.28498727735369,Negative
GGY,2.9,5.4,86.2,86.20689655172416,Positive
GIN,28.2,25.2,-10.6,-10.638297872340425,Negative
GNB,76.4,70.4,-7.9,-7.853403141361256,Negative
GUY,94.3,93.6,-0.7,-0.7423117709437994,Negative
HTI,13.8,12.6,-8.7,-8.69565217391305,Negative
HND,60.6,56.8,-6.3,-6.270627062706277,Negative
HUN,21.4,22.5,5.1,5.140186915887857,Positive
ISL,0.3,0.5,66.7,66.66666666666667,Positive
IND,22.7,24.3,7.0,7.048458149779742,Positive
IDN,53.9,49.1,-8.9,-8.905380333951758,Negative
IRN,5.7,6.6,15.8,15.789473684210517,Positive
IRQ,1.9,1.9,0.0,0.0,Negative
IRL,9.2,11.4,23.9,23.913043478260885,Positive
IMN,6.1,6.1,0.0,0.0,Negative
ISR,7.1,6.5,-8.5,-8.450704225352109,Negative
ITA,28.3,32.3,14.1,14.134275618374545,Positive
JAM,48.1,55.1,14.6,14.553014553014554,Positive
JPN,68.2,68.4,0.3,0.29325513196481356,Positive
JEY,5.0,5.0,0.0,0.0,Negative
JOR,1.1,1.1,0.0,0.0,Negative
KAZ,1.2,1.3,8.3,8.333333333333341,Positive
KEN,7.0,6.3,-10.0,-10.000000000000002,Negative
KIR,1.5,1.5,0.0,0.0,Negative
KWT,0.3,0.4,33.3,33.33333333333335,Positive
KGZ,6.2,6.9,11.3,11.290322580645164,Positive
LAO,75.5,71.9,-4.8,-4.768211920529794,Negative
LVA,52.1,54.8,5.2,5.182341650671777,Positive
LBN,13.5,14.0,3.7,3.7037037037037033,Positive
LSO,1.1,1.1,0.0,0.0,Negative
LBR,85.4,79.1,-7.4,-7.377049180327881,Negative
LBY,0.1,0.1,0.0,0.0,Negative
LIE,41.9,41.9,0.0,0.0,Negative
LTU,32.2,35.1,9.0,9.006211180124218,Positive
LUX,33.7,34.5,2.4,2.3738872403560745,Positive
MDG,22.4,21.4,-4.5,-4.464285714285714,Negative
MWI,32.7,23.8,-27.2,-27.217125382263003,Negative
MYS,59.9,58.2,-2.8,-2.838063439065101,Negative
MDV,2.7,2.7,0.0,0.0,Negative
MLI,10.9,10.9,0.0,0.0,Negative
MLT,1.1,1.4,27.3,27.272727272727256,Positive
MHL,52.2,52.2,0.0,0.0,Negative
MTQ,46.0,49.3,7.2,7.1739130434782545,Positive
MRT,0.4,0.3,-25.0,-25.000000000000007,Negative
MUS,20.7,19.1,-7.7,-7.729468599033806,Negative
MYT,41.9,37.1,-11.5,-11.455847255369921,Negative
MEX,35.2,33.8,-4.0,-3.977272727272743,Negative
FSM,91.2,92.0,0.9,0.8771929824561372,Positive
MNG,9.2,9.1,-1.1,-1.0869565217391266,Negative
MNE,46.5,61.5,32.3,32.25806451612903,Positive
MSR,25.0,25.0,0.0,0.0,Negative
MAR,12.3,12.9,4.9,4.878048780487801,Positive
MOZ,52.4,46.7,-10.9,-10.877862595419838,Negative
MMR,53.4,43.7,-18.2,-18.164794007490627,Negative
NAM,9.8,8.1,-17.3,-17.346938775510214,Negative
NPL,41.7,41.6,-0.2,-0.23980815347722165,Negative
NLD,10.6,11.0,3.8,3.7735849056603805,Positive
NCL,45.8,45.8,0.0,0.0,Negative
NZL,37.4,37.6,0.5,0.5347593582887776,Positive
NIC,44.9,28.3,-37.0,-36.97104677060133,Negative
NER,1.0,0.9,-10.0,-9.999999999999998,Negative
NGA,27.3,23.7,-13.2,-13.186813186813193,Negative
NIU,72.4,72.6,0.3,0.27624309392263624,Positive
NFK,12.2,12.2,0.0,0.0,Negative
MKD,37.7,39.7,5.3,5.305039787798408,Positive
MNP,69.5,53.0,-23.7,-23.741007194244602,Negative
NOR,39.8,40.1,0.8,0.7537688442211162,Positive
PAK,5.9,4.8,-18.6,-18.644067796610177,Negative
PLW,86.0,90.0,4.7,4.651162790697675,Positive
PAN,59.8,56.8,-5.0,-5.016722408026756,Negative
PNG,80.1,79.2,-1.1,-1.123595505617967,Negative
PRY,57.9,40.5,-30.1,-30.051813471502587,Negative
PER,58.8,56.5,-3.9,-3.9115646258503354,Negative
PHL,24.5,24.1,-1.6,-1.632653061224484,Negative
PCN,74.5,74.5,0.0,0.0,Negative
POL,29.6,31.0,4.7,4.7297297297297245,Positive
PRT,35.9,36.2,0.8,0.8356545961002904,Positive
PRI,48.4,56.0,15.7,15.702479338842979,Positive
KOR,67.1,64.4,-4.0,-4.0238450074515475,Negative
MDA,10.5,11.8,12.4,12.380952380952388,Positive
REU,36.4,39.2,7.7,7.692307692307704,Positive
ROU,27.7,30.1,8.7,8.664259927797842,Positive
RUS,49.4,49.8,0.8,0.8097165991902806,Positive
RWA,11.6,11.2,-3.4,-3.448275862068969,Negative
BLM,8.5,8.5,0.0,0.0,Negative
SHN,5.1,5.1,0.0,0.0,Negative
KNA,42.3,42.3,0.0,0.0,Negative
LCA,34.4,34.0,-1.2,-1.1627906976744147,Negative
MAF,24.8,24.8,0.0,0.0,Negative
SPM,7.3,5.3,-27.4,-27.397260273972602,Negative
VCT,73.2,73.2,0.0,0.0,Negative
WSM,60.5,57.1,-5.6,-5.619834710743799,Negative
SMR,16.7,16.7,0.0,0.0,Negative
STP,60.8,54.1,-11.0,-11.019736842105257,Negative
SAU,0.5,0.5,0.0,0.0,Negative
SEN,46.0,41.9,-8.9,-8.913043478260873,Negative
SRB,28.1,31.1,10.7,10.676156583629892,Positive
SYC,73.3,73.3,0.0,0.0,Negative
SLE,40.6,35.1,-13.5,-13.546798029556651,Negative
SGP,25.4,21.7,-14.6,-14.566929133858267,Negative
SXM,10.9,10.9,0.0,0.0,Negative
SVK,39.5,40.1,1.5,1.5189873417721556,Positive
SVN,61.2,61.5,0.5,0.49019607843136787,Positive
SLB,90.7,90.1,-0.7,-0.6615214994487415,Negative
SOM,12.0,9.5,-20.8,-20.833333333333336,Negative
ZAF,14.7,14.1,-4.1,-4.081632653061222,Negative
SSD,11.3,11.3,0.0,0.0,Negative
ESP,34.3,37.2,8.5,8.45481049562684,Positive
LKA,34.5,34.2,-0.9,-0.869565217391296,Negative
PSE,1.5,1.7,13.3,13.33333333333333,Positive
SDN,11.8,9.9,-16.1,-16.10169491525424,Negative
SUR,98.3,97.4,-0.9,-0.9155645981688622,Negative
SWE,69.1,68.7,-0.6,-0.5788712011577302,Negative
CHE,30.3,32.1,5.9,5.940594059405943,Positive
SYR,2.4,2.8,16.7,16.666666666666664,Positive
TJK,2.9,3.1,6.9,6.896551724137938,Positive
THA,37.2,38.9,4.6,4.5698924731182675,Positive
TLS,63.8,61.9,-3.0,-2.9780564263322864,Negative
TGO,23.3,22.2,-4.7,-4.721030042918461,Negative
TON,12.4,12.4,0.0,0.0,Negative
TTO,46.1,44.5,-3.5,-3.4707158351410006,Negative
TUN,4.3,4.5,4.7,4.651162790697678,Positive
TUR,26.2,28.9,10.3,10.30534351145038,Positive
TKM,8.8,8.8,0.0,0.0,Negative
TCA,11.1,11.1,0.0,0.0,Negative
TUV,33.3,33.3,0.0,0.0,Negative
UGA,15.8,11.7,-25.9,-25.9493670886076,Negative
UKR,16.4,16.7,1.8,1.8292682926829311,Positive
ARE,4.4,4.5,2.3,2.2727272727272645,Positive
GBR,12.2,13.2,8.2,8.196721311475411,Positive
TZA,60.6,51.6,-14.9,-14.85148514851485,Negative
USA,33.1,33.9,2.4,2.4169184290030126,Positive
VIR,58.5,56.9,-2.7,-2.7350427350427373,Negative
URY,7.8,11.6,48.7,48.717948717948715,Positive
UZB,6.8,8.4,23.5,23.52941176470589,Positive
VUT,36.3,36.3,0.0,0.0,Negative
VEN,55.7,52.4,-5.9,-5.924596050269307,Negative
VNM,37.9,46.7,23.2,23.218997361477584,Positive
WLF,41.5,41.6,0.2,0.24096385542169016,Positive
ESH,2.5,2.5,0.0,0.0,Negative
WLD,31.9,31.2,-2.2,-2.194357366771158,Negative
YEM,1.0,1.0,0.0,0.0,Negative
ZMB,63.3,60.3,-4.7,-4.739336492890995,Negative
ZWE,47.5,45.1,-5.1,-5.0526315789473655,Negative
